CATEGORIES	JUPAS_CODE
Arts+and+Humanities	JS1041
Arts+and+Humanities	JS1042
Arts+and+Humanities	JS1043
Arts+and+Humanities	JS1044
Arts+and+Humanities	JS1102
Arts+and+Humanities	JS1103
Arts+and+Humanities	JS1104
Arts+and+Humanities	JS1105
Arts+and+Humanities	JS4006
Arts+and+Humanities	JS4018
Arts+and+Humanities	JS4020
Arts+and+Humanities	JS4022
Arts+and+Humanities	JS4032
Arts+and+Humanities	JS4044
Arts+and+Humanities	JS4056
Arts+and+Humanities	JS4068
Arts+and+Humanities	JS4070
Arts+and+Humanities	JS4082
Arts+and+Humanities	JS4094
Arts+and+Humanities	JS4109
Arts+and+Humanities	JS4111
Arts+and+Humanities	JS4123
Arts+and+Humanities	JS4355
Arts+and+Humanities	JS4836
Arts+and+Humanities	JS4838
Arts+and+Humanities	JS4895
Arts+and+Humanities	JS8600
Arts+and+Humanities	JS8612
Arts+and+Humanities	JS8636
Arts+and+Humanities	JS8648
Arts+and+Humanities	JS8663
Arts+and+Humanities	JS8801
Arts+and+Humanities	JS8813
Arts+and+Humanities	JS8825
Arts+and+Humanities	JS2020
Arts+and+Humanities	JS2030
Arts+and+Humanities	JS2040
Arts+and+Humanities	JS2310
Arts+and+Humanities	JS2320
Arts+and+Humanities	JS2610
Arts+and+Humanities	JS2630
Arts+and+Humanities	JS2640
Arts+and+Humanities	JS2650
Arts+and+Humanities	JS2680
Arts+and+Humanities	JS2810
Arts+and+Humanities	JS6054
Arts+and+Humanities	JS6066
Arts+and+Humanities	JS6078
Arts+and+Humanities	JS6080
Arts+and+Humanities	JS5411
Arts+and+Humanities	JS7100
Arts+and+Humanities	JS7101
Arts+and+Humanities	JS7204
Arts+and+Humanities	JS7503
Arts+and+Humanities	JS7606
Arts+and+Humanities	JS7709
Arts+and+Humanities	JS7802
Arts+and+Humanities	JS7905
Arts+and+Humanities	JS3480
Building+and+Architecture	JS1201
Building+and+Architecture	JS4462
Building+and+Architecture	JS4812
Building+and+Architecture	JS4838
Building+and+Architecture	JS6004
Building+and+Architecture	JS6016
Building+and+Architecture	JS6028
