YEAR	INST	CODE	NAME
2012	1	JS1001	College of Business
2012	1	JS1011	College of Liberal Arts and Social Sciences
2012	1	JS1021	College of Science and Engineering (Engineering)
2012	1	JS1031	College of Science and Engineering (Science)
2012	1	JS1041	School of Creative Media
2012	1	JS1051	School of Energy and Environment
2012	1	JS1061	School of Law
2012	1	JS1091	Division of Building Science and Technology (Associate Degree)'
2012	2	JS2020	Chi Lang & Lit \\/ Creative & Prof Writing*\\/ Eng Lang & Lit \\/ Humanities \\/ Religious Std \\/ Translation
2012	2	JS2030	Music
2012	2	JS2040	Double Degrees (English Language & Literature and English Language Teaching)
2012	2	JS2110	Accounting
2012	2	JS2120	AECON \\/ CBS \\/ FIN \\/ HRM \\/ ISEM \\/ MKT
2012	2	JS2310	Cinema & TV\\/Journalism\\/Organizational Communication\\/PR & Advertising
2012	2	JS2410	Chinese Medicine & Biomedical Science
2012	2	JS2420	Pharmacy in Chinese Medicine
2012	2	JS2510	App Bio\\/Chem\\/Analy & Testing Sci*\\/Comp Sci\\/Comp & Info Sys\\/App & Comp Math\\/Math Sci\\/Stat & OR
2012	2	JS2610	History \\/ Geography \\/ Government & International Studies \\/ Sociology
2012	2	JS2620	Physical Education & Recreation Management
2012	2	JS2630	European Studies (French)
2012	2	JS2640	European Studies (German)
2012	2	JS2650	China Studies (Economics \\/ Geography \\/ History \\/ Sociology)
2012	2	JS2660	Social Work
2012	2	JS2680	Double Degrees (Geography \\/ History \\/ Sociology and Liberal Studies Teaching)
2012	2	JS2810	Visual Arts'
2012	3	JS3002	Broad Discipline of Applied Sciences
2012	3	JS3014	HD in Applied Physics
2012	3	JS3026	HD in Building Services Engineering
2012	3	JS3038	HD in Building Technology & Management (Engineering)
2012	3	JS3040	HD in Chemical Technology
2012	3	JS3052	HD in Civil Engineering
2012	3	JS3064	HD in Electrical Engineering
2012	3	JS3076	HD in Electronic & Information Engineering
2012	3	JS3088	HD in Geomatics
2012	3	JS3090	HD in Hotel Management
2012	3	JS3117	HD in Industrial & Systems Engineering
2012	3	JS3131	Broad Discipline of Business
2012	3	JS3143	HD in International Transport Logistics
2012	3	JS3155	HD Scheme in Fashion & Textile Studies
2012	3	JS3167	HD in Social Work
2012	3	JS3181	HD in Nursing
2012	3	JS3193	HD in Multimedia Design & Technology
2012	3	JS3208	Broad Discipline of Construction and Environment
2012	3	JS3210	HD in Tourism Management
2012	3	JS3246	HD in Product Innovation Technologies
2012	3	JS3284	HD in Building Technology & Management (Surveying)
2012	3	JS3296	Broad Discipline of Hotel and Tourism Management
2012	3	JS3301	Broad Discipline of Social Sciences
2012	3	JS3313	Broad Discipline of Engineering
2012	3	JS3325	Double Degree in Computing & Management
2012	3	JS3337	BSc (Hons) in Mental Health Nursing
2012	3	JS3349	BSc (Hons) in Food Safety & Technology
2012	3	JS3351	BEng (Hons) in Transportation Systems Engineering
2012	3	JS3363	BSc (Hons) in Investment Science
2012	3	JS3375	BSc (Hons) in Environment & Sustainable Development
2012	3	JS3404	BEng (Hons) in Product Engineering with Marketing
2012	3	JS3416	Double Degree in Business Administration & Engineering
2012	3	JS3428	BEng (Hons) in Product Analysis & Engineering Design
2012	3	JS3442	BSc (Hons) in Property Management
2012	3	JS3454	BSc (Hons) in Logistics Engineering with Management
2012	3	JS3466	BBA (Hons) in Accounting & Finance
2012	3	JS3478	BSc (Hons) in Medical Laboratory Science
2012	3	JS3480	Broad Discipline of Language, Culture and Communication
2012	3	JS3492	BA (Hons) Scheme in Fashion & Textiles
2012	3	JS3519	BSc (Hons) in Internet & Multimedia Technologies
2012	3	JS3521	BSc (Hons) in Enterprise Engineering with Management
2012	3	JS3533	BBA (Hons) in Global Supply Chain Management
2012	3	JS3545	BA (Hons) in Social Policy & Administration
2012	3	JS3569	BA (Hons) Scheme in Design
2012	3	JS3583	BBA (Hons) in Management
2012	3	JS3595	BBA (Hons) in Financial Services
2012	3	JS3600	BSc (Hons) in Biomedical Engineering
2012	3	JS3612	BSc (Hons) in Radiography
2012	3	JS3624	BSc (Hons) in Occupational Therapy
2012	3	JS3636	BSc (Hons) in Physiotherapy
2012	3	JS3648	BSc (Hons) in Nursing
2012	3	JS3650	BSc (Hons) in Optometry
2012	3	JS3662	BA (Hons) in Social Work
2012	3	JS3674	BBA (Hons) in International Shipping & Transport Logistics
2012	3	JS3686	BEng (Hons) in Mechanical Engineering
2012	3	JS3698	BEng (Hons) in Industrial & Systems Engineering
2012	3	JS3703	BEng (Hons) in Electronic & Information Engineering
2012	3	JS3715	BEng (Hons) in Electrical Engineering
2012	3	JS3727	BSc (Hons) in Geomatics
2012	3	JS3739	BEng (Hons) in Civil Engineering
2012	3	JS3753	BEng (Hons) in Building Services Engineering
2012	3	JS3789	BSc (Hons) in Surveying
2012	3	JS3791	BSc (Hons) in Building Engineering & Management
2012	3	JS3868	Broad Discipline of Computing
2012	3	JS3870	BSc (Hons) in Tourism Management
2012	3	JS3882	BSc (Hons) in Hotel Management
2012	3	JS3894	BBA (Hons) in Marketing
2012	3	JS3911	BBA (Hons) in Accountancy
2012	3	JS3923	BSc (Hons) in Applied Biology with Biotechnology
2012	3	JS3985	BSc (Hons) in Engineering Physics
2012	3	JS3997	BSc (Hons) in Chemical Technology'
2012	4	JS4006	Anthropology
2012	4	JS4018	Chinese Language and Literature
2012	4	JS4020	Cultural Studies
2012	4	JS4022	Cultural Management
2012	4	JS4032	English
2012	4	JS4044	Fine Arts
2012	4	JS4056	History
2012	4	JS4068	Japanese Studies
2012	4	JS4070	Linguistics
2012	4	JS4082	Music
2012	4	JS4094	Philosophy
2012	4	JS4109	Religious Studies
2012	4	JS4111	Theology
2012	4	JS4123	Translation
2012	4	JS4135	Chinese Studies
2012	4	JS4202	Integrated Bachelor of Business Administration Programme
2012	4	JS4214	Global Business Studies
2012	4	JS4226	Hotel and Tourism Management
2012	4	JS4236	Insurance, Financial and Actuarial Analysis \\/ Quantitative Finance
2012	4	JS4240	Professional Accountancy
2012	4	JS4254	Interdisciplinary Major Programme in Global Economics and Finance
2012	4	JS4276	Quantitative Finance and Risk Management Science
2012	4	JS4288	International Business and Chinese Enterprise
2012	4	JS4329	Physical Education, Exercise Science and Health
2012	4	JS4331	BA and BEd (Chinese Language Education) Co-terminal Double Degree Programme
2012	4	JS4343	B.A. (English Studies) and B.Ed. (English Language Education)
2012	4	JS4355	Liberal Studies
2012	4	JS4361	B.Ed. in Mathematics and Mathematics Education
2012	4	JS4401	Engineering
2012	4	JS4501	Medicine
2012	4	JS4513	Nursing
2012	4	JS4525	Pharmacy
2012	4	JS4537	Public Health
2012	4	JS4601	Science
2012	4	JS4642	Chinese Medicine
2012	4	JS4682	Enrichment Mathematics
2012	4	JS4719	Risk Management Science
2012	4	JS4801	Social Science
2012	4	JS4812	Architectural Studies
2012	4	JS4824	Economics
2012	4	JS4836	Geography and Resource Management
2012	4	JS4838	Urban Studies
2012	4	JS4848	Government and Public Administration
2012	4	JS4850	Journalism and Communication
2012	4	JS4862	Psychology
2012	4	JS4874	Social Work
2012	4	JS4886	Sociology
2012	4	JS4903	Legal Studies'
2012	5	JS5001	Bachelor of Science (School of Science)
2012	5	JS5002	Bachelor of Engineering \\/ Bachelor of Science (School of Engineering)
2012	5	JS5003	Bachelor of Business Administration \\/ Bachelor of Science (School of Business and Management)
2012	5	JS5004	Bachelor of Science (School of Humanities and Social Science)'
2012	6	JS6004	Bachelor of Arts in Architectural Studies
2012	6	JS6016	Bachelor of Science in Surveying
2012	6	JS6028	Bachelor of Arts in Landscape Studies
2012	6	JS6030	Bachelor of Arts in Conservation Studies
2012	6	JS6042	Bachelor of Arts in Urban Studies
2012	6	JS6054	Bachelor of Arts
2012	6	JS6066	Bachelor of Arts and Bachelor of Education in Language Education - English (double degree)
2012	6	JS6078	Bachelor of Arts (Literary Studies) and Bachelor of Laws
2012	6	JS6080	Bachelor of Arts and Bachelor of Education in Language Education - Chinese (double degree)
2012	6	JS6107	Bachelor of Dental Surgery
2012	6	JS6119	Bachelor of Education and Bachelor of Science (double degree)
2012	6	JS6157	Bachelor of Science in Speech and Hearing Sciences
2012	6	JS6183	Bachelor of Science in Exercise and Health
2012	6	JS6195	Bachelor of Education and Bachelor of Social Sciences (double degree)
2012	6	JS6406	Bachelor of Laws
