YEAR	CODE	RECORD_ID	BEST_FIVE	CHINESE	ENGLISH	MATHS	LIBERAL_STUDIES	ELECT_SUB_1	ELECT_SUB_2	ELECT_GRADE_1	ELECT_GRADE_2
2012	JS1001	3624		3	5**	3	3	Music	Health Management and Social Care	1	5**
2012	JS1001	3540	21	5	4	4	4	Business, Accounting and Financial Studies	Chinese Literature	4	4
2012	JS1001	3500	21	4	5*	4	4	Business, Accounting and Financial Studies	Economics	3	3
2012	JS1001	3428	24	5	5	3	4	Business, Accounting and Financial Studies	Economics	5	4
2012	JS1001	3420	24	5*	5*	3	4	Business, Accounting and Financial Studies	Chinese History	4	4
2012	JS1001	3361	21	4	4	4	4	Economics		5	
2012	JS1001	3324	21	4	4	5	4	Business, Accounting and Financial Studies	Economics	4	4
2012	JS1001	3309	23	4	4	4	5	Geography	History	5*	4
2012	JS1001	3261	21	4	4	4	4	Business, Accounting and Financial Studies	Biology	5	3
2012	JS1001	3241	22	3	4	5	5	Business, Accounting and Financial Studies	Chemistry	4	4
2012	JS1001	3232	22	4	4	5	3	Economics	Physics	5	4
2012	JS1001	3212	23	4	5	5	4	Information and Communication Technology	Business, Accounting and Financial Studies	5	4
2012	JS1001	3210	25	3	4	5	4	Economics	Business, Accounting and Financial Studies	5*	5*
2012	JS1001	3192	24	3	5	5	4	Chemistry	Biology	5*	4
2012	JS1001	3167	22	4	3	4	5	Business, Accounting and Financial Studies	Tourism and Hospitality Studies	5*	3
2012	JS1001	3142	22	5	4	4	4	Business, Accounting and Financial Studies	Geography	4	5
2012	JS1001	3128	22	5	5	4	4	Chemistry	Economics	4	4
2012	JS1001	3097	22	5	4	4	4	Business, Accounting and Financial Studies	Economics	5	4
2012	JS1001	3089	22	4	4	5	4	Business, Accounting and Financial Studies	Economics	4	5
2012	JS1001	3076	23	4	4	5	3	Business, Accounting and Financial Studies	Information and Communication Technology	5	4
2012	JS1001	3012	22	4	4	5	4	Economics	Geography	5	4
2012	JS1001	3001	22	5	4	4	4	Business, Accounting and Financial Studies	Chemistry	5	4
2012	JS1001	2993	22	3	4	5	4	Business, Accounting and Financial Studies	Economics	5	4
2012	JS1001	2982	25	3	5	3	4	Geography	Economics	5**	5
2012	JS1001	2924	22	4	4	4	5*	Biology	Chemistry	4	4
2012	JS1001	2904	22	4	4	5	4	Physics	Chemistry	4	4
2012	JS1001	2787	23	4	4	4	5	Economics	Biology	5*	4
2012	JS1001	2782	21	4	4	4	5	Business, Accounting and Financial Studies	Economics	4	4
2012	JS1001	2775	23	3	4	5	3	Economics	Chemistry	5*	4
2012	JS1001	2769	23	5*	5	4	4	Biology	Chemistry	3	4
2012	JS1001	2719	23	4	4	5	4	Economics	Business, Accounting and Financial Studies	4	5
2012	JS1001	2714	22	3	5*	4	4	Business, Accounting and Financial Studies	Economics	4	4
2012	JS1001	2667	25	3	5	5	4	Economics	Music	5	4
2012	JS1001	2656	22	3	5	4	5	Physics	Biology	4	4
2012	JS1001	2624	22	3	5	5	4	Business, Accounting and Financial Studies	Economics	4	4
2012	JS1001	2612	22	4	4	4	4	Business, Accounting and Financial Studies	Economics	5	5
2012	JS1001	2611	21	5	5	4	4	Biology	Chemistry	3	3
2012	JS1001	2605	23	3	5	4	3	Economics	Business, Accounting and Financial Studies	5	4
2012	JS1001	2586	21	4	5	4	4	Business, Accounting and Financial Studies	Economics	4	4
2012	JS1001	2490	22	4	4	5	3	Chemistry	Physics	4	5
2012	JS1001	2487	22	4	4	5	4	Economics	History	5	4
2012	JS1001	2486	21	4	4	4	5	Business, Accounting and Financial Studies	Economics	4	4
2012	JS1001	2426	22	5*	4	4	4	Business, Accounting and Financial Studies	Economics	4	3
2012	JS1001	2424	24	4	3	5*	3	Physics	Chemistry	5*	4
2012	JS1001	2363	21	4	4	5	4	Economics	Business, Accounting and Financial Studies	4	4
2012	JS1001	2359	22	4	5	4	3	Mathematics Extended Modules I	Business, Accounting and Financial Studies	3	4
2012	JS1001	2342	23	3	3	5*	4	Business, Accounting and Financial Studies	Economics	5	5
2012	JS1001	2292	23	5	4	4	5**	Chemistry	Physics	3	3
2012	JS1001	2278	21	5	4	4	4	Business, Accounting and Financial Studies	Economics	4	4
2012	JS1001	2266	25	3	4	5	4	Economics	History	5*	5*
2012	JS1001	2251	22	4	4	4	5	Business, Accounting and Financial Studies	Mathematics Extended Modules I	4	4
2012	JS1001	2240	21	4	4	5	4	Chemistry	Chinese History	4	4
2012	JS1001	2224	23	4	4	4	5**	Business, Accounting and Financial Studies	Physics	4	4
2012	JS1001	2204	25	3	4	5	4	Economics	Business, Accounting and Financial Studies	5*	5
2012	JS1001	2179	23	4	4	4	4	Business, Accounting and Financial Studies	Economics	5	5*
2012	JS1001	2166	22	3	4	4	4	Economics	Tourism and Hospitality Studies	5*	4
2012	JS1001	2154	24	3	5	5	3	Economics	Geography	5	5
2012	JS1001	2147	25	3	4	4	4	Business, Accounting and Financial Studies	Economics	5*	5**
2012	JS1001	2082	25	5	5	5	4	Business, Accounting and Financial Studies	Economics	5	5
2012	JS1001	2048	22	4	5	4	5	Chinese History	Biology	3	4
2012	JS1001	2044	25	5*	4	5	5	Chemistry	Economics	4	5
2012	JS1001	2038	22	3	5	4	5	Business, Accounting and Financial Studies	Economics	4	4
2012	JS1001	2033	21	5	4	4	4	Biology	Mathematics Extended Modules I	3	3
2012	JS1001	1985	23	3	4	5*	4	Business, Accounting and Financial Studies	Physics	5	4
2012	JS1001	1966	23	5	4	5	3	Biology	Chemistry	4	4
2012	JS1001	1858	21	4	4	4	5	Business, Accounting and Financial Studies	Economics	4	4
2012	JS1001	1843	22	4	4	4	5	Business, Accounting and Financial Studies	Economics	5	3
2012	JS1001	1809	23	4	4	5*	4	Economics	Biology	5	3
2012	JS1001	1787	21	4	4	4	4	Economics	Business, Accounting and Financial Studies	5	4
2012	JS1001	1731	21	4	4	4	4	Information and Communication Technology	Business, Accounting and Financial Studies	5	4
2012	JS1001	1722	22	4	4	4	3	Economics	Physics	5*	4
2012	JS1001	1716	23	5	4	4	4	Geography	Economics	5*	4
2012	JS1001	1583	21	4	4	4	5	Biology	Chemistry	3	4
